sale_id,branch_id,shoe_id,sale_date,quantity_sold,total_price
123448,1,HE206,2024-09-06,1,250
436802,2,SN935,2024-07-25,2,360
360667,2,FO696,2024-07-22,3,690
848333,3,SN398,2024-11-16,1,180
477694,2,BO125,2024-05-11,3,900
563546,3,SA770,2024-05-16,2,300
167941,2,CA798,2024-01-15,5,950
754296,1,BA398,2024-01-29,5,600
687489,1,SA793,2024-03-06,3,450
107299,1,BO995,2024-06-18,1,300
354790,3,BO370,2024-04-14,1,300
106007,3,CA895,2024-09-19,1,190
447673,2,FO538,2024-02-23,1,230
252690,1,BA120,2024-12-11,3,360
874410,2,BA831,2024-04-12,2,240
667679,3,BA781,2024-09-15,1,120
759551,1,BA929,2024-02-12,3,360
755661,2,CA807,2024-09-11,2,380
932012,3,SN497,2024-04-22,1,180
450102,2,SA991,2024-01-09,1,150
219507,2,SA807,2024-12-20,1,150
282635,2,SA600,2024-08-12,3,450
790078,1,FO811,2024-06-13,7,1610
202468,3,FO704,2024-09-18,1,230
705577,3,FO581,2024-02-09,1,230
954335,3,BA590,2024-12-22,1,120
561886,2,SN521,2024-10-23,2,360
714860,1,SN211,2024-06-05,3,540
951296,2,BA872,2024-12-05,1,120
433331,2,HE348,2024-04-05,1,250
592354,1,CA249,2024-09-10,4,760
165592,2,FO769,2024-09-22,3,690
284237,1,BA736,2024-12-31,3,360
187109,2,SA270,2024-08-06,1,150
641633,3,FO588,2024-11-30,2,460
704895,3,BA522,2024-01-12,1,120
987386,3,SN529,2024-02-10,1,180
969683,3,BO832,2024-04-13,1,300
655706,1,FO632,2024-12-16,3,690
862080,2,FO988,2024-07-25,2,460
864386,1,SN512,2024-02-07,2,360
458046,2,BA831,2024-05-03,1,120
380377,3,CA798,2024-05-07,1,190
828842,2,CA389,2024-12-22,2,380
498407,1,FO392,2024-10-19,1,230
396939,1,SN138,2024-06-16,1,180
121584,2,FO806,2024-07-19,1,230
323346,1,BO146,2024-11-22,3,900
955034,3,HE745,2024-03-09,3,750
311011,2,HE624,2024-09-25,2,500
983791,1,CA798,2024-01-09,7,1330
672519,2,BA251,2024-08-29,2,240
112813,1,BO118,2024-05-16,4,1200
920462,1,BO750,2024-09-13,2,600
983209,1,BA661,2024-01-30,7,840
752156,3,BA929,2024-09-12,1,120
415486,1,BA468,2024-06-19,4,480
857016,3,FO607,2024-09-20,2,460
273817,2,SN165,2024-02-22,2,360
679392,3,HE698,2024-09-25,1,250
843248,1,FO440,2024-12-20,7,1610
736060,2,CA901,2024-04-21,1,190
261601,1,HE611,2024-03-23,1,250
937249,1,BA831,2024-10-22,3,360
162468,1,SA495,2024-10-04,3,450
827073,2,BO185,2024-11-22,1,300
581948,1,CA295,2024-09-10,1,190
675083,1,FO440,2024-10-04,2,460
718852,2,SA341,2024-11-17,3,450
625488,1,SN119,2024-10-13,6,1080
734276,3,SN213,2024-02-02,1,180
759685,1,CA807,2024-01-28,3,570
702712,3,SA154,2024-03-16,1,150
817511,2,HE540,2024-02-17,2,500
685485,3,FO693,2024-03-30,1,230
283329,3,BA939,2024-02-10,1,120
998917,3,BO247,2024-05-24,1,300
830123,1,FO196,2024-04-23,2,460
300524,2,SN147,2024-10-22,2,360
571768,1,SN147,2024-05-15,5,900
196864,1,BO790,2024-11-11,6,1800
118947,3,HE560,2024-01-23,3,750
500103,1,BA884,2024-10-08,1,120
877349,3,CA567,2024-10-16,3,570
625406,1,HE698,2024-08-13,1,250
242788,1,FO675,2024-11-17,3,690
867527,2,BA547,2024-06-10,5,600
580648,3,BA816,2024-06-24,1,120
844817,2,HE915,2024-08-18,2,500
425439,1,SA219,2024-01-15,6,900
788116,3,CA901,2024-06-22,3,570
136003,1,FO540,2024-02-10,3,690
257216,1,FO988,2024-08-03,1,230
721617,1,SA729,2024-10-20,3,450
289641,2,CA472,2024-04-16,3,570
151278,1,BA120,2024-02-22,1,120
767553,3,FO529,2024-07-12,2,460
533390,2,BA694,2024-10-01,1,120
143898,2,SN905,2024-11-02,4,720
304464,2,BA872,2024-05-16,4,480
377334,1,BA941,2024-09-04,2,240
622798,3,BA672,2024-02-17,1,120
145163,1,SN992,2024-05-07,5,900
861241,3,BA525,2024-11-22,1,120
740995,3,BA760,2024-05-15,2,240
925218,3,BA751,2024-05-11,1,120
651446,2,SN743,2024-07-14,4,720
303836,1,FO149,2024-01-08,3,690
411077,3,BA929,2024-10-16,2,240
547408,3,FO455,2024-03-09,1,230
974323,1,SA720,2024-04-29,5,750
674883,1,FO607,2024-04-19,1,230
453263,3,HE698,2024-06-18,3,750
967446,1,SN119,2024-06-01,1,180
637175,1,BA947,2024-12-04,7,840
587232,3,BA528,2024-12-08,1,120
156145,1,SA210,2024-10-31,1,150
411111,3,SA167,2024-05-28,1,150
301016,2,CA376,2024-06-20,2,380
227810,2,SN401,2024-08-28,1,180
764726,2,SN213,2024-09-29,2,360
532512,1,SA600,2024-05-21,4,600
574532,1,BO948,2024-01-21,2,600
107490,2,SN571,2024-04-21,1,180
953007,1,SA807,2024-04-10,2,300
612936,2,BO737,2024-12-15,3,900
163803,2,SN512,2024-10-28,3,540
943030,2,HE508,2024-07-02,1,250
458636,1,BA325,2024-02-26,4,480
589751,2,FO369,2024-12-27,4,920
698661,2,CA514,2024-12-03,4,760
297121,1,BA975,2024-10-19,1,120
168828,3,FO988,2024-03-14,1,230
198267,2,BA971,2024-02-06,3,360
794845,1,FO997,2024-04-30,2,460
854068,2,SA219,2024-07-17,2,300
186880,1,HE783,2024-12-18,3,750
657332,2,SN731,2024-09-08,2,360
982716,2,CA798,2024-12-18,5,950
980291,1,BO305,2024-10-18,6,1800
258676,2,FO632,2024-08-13,2,460
306022,2,BO420,2024-01-19,1,300
353790,2,HE595,2024-04-08,2,500
752274,3,FO997,2024-08-29,1,230
295482,3,BA856,2024-08-28,1,120
584653,2,SN398,2024-07-16,2,360
382998,2,FO429,2024-12-10,3,690
962177,1,CA540,2024-02-05,1,190
834001,1,HE560,2024-07-15,3,750
228657,3,BO948,2024-06-28,2,600
954788,1,HE530,2024-03-21,1,250
841972,3,BO934,2024-07-05,3,900
386800,1,SN611,2024-11-28,6,1080
649727,1,BA781,2024-01-06,5,600
104243,1,BA939,2024-07-13,3,360
344752,3,BO995,2024-09-18,1,300
350339,2,HE549,2024-08-01,1,250
232894,3,FO455,2024-04-30,1,230
414750,2,CA686,2024-01-27,5,950
376864,2,CA669,2024-02-01,3,570
738451,3,BA872,2024-12-10,2,240
237939,2,SA195,2024-09-09,1,150
684250,2,SN766,2024-02-03,3,540
225599,1,SN683,2024-07-17,1,180
957012,2,BA771,2024-08-19,2,240
300865,1,FO445,2024-12-01,7,1610
378622,2,CA293,2024-05-09,1,190
107975,2,FO445,2024-06-09,4,920
327028,2,BO705,2024-09-17,2,600
948348,2,BA736,2024-12-28,1,120
917238,2,SN497,2024-10-18,2,360
746405,2,SN713,2024-08-08,1,180
603424,2,SN211,2024-10-17,2,360
268314,3,CA686,2024-06-09,3,570
930817,3,FO787,2024-02-11,2,460
569592,2,SA934,2024-02-18,1,150
531890,1,BA325,2024-02-11,2,240
169976,3,BA784,2024-07-13,2,240
690817,1,BO995,2024-06-07,7,2100
284954,2,HE292,2024-12-27,1,250
814534,3,SN743,2024-02-10,1,180
715112,3,SA627,2024-09-18,1,150
459495,2,BA939,2024-05-04,4,480
546439,3,FO988,2024-10-31,2,460
204779,3,SN644,2024-08-18,2,360
120779,1,BA290,2024-04-18,4,480
527588,2,SA343,2024-05-04,4,600
352019,1,BO125,2024-06-23,5,1500
400417,1,SN743,2024-02-01,1,180
717538,1,FO622,2024-04-05,3,690
280185,3,SA495,2024-09-04,1,150
402037,3,SN710,2024-02-27,2,360
720164,3,BA332,2024-11-23,2,240
127409,1,BO920,2024-09-28,5,1500
608413,3,HE698,2024-12-15,2,500
986342,3,HE636,2024-04-26,1,250
404622,2,SA793,2024-09-11,3,450
800639,1,CA274,2024-08-02,4,760
114979,1,CA542,2024-11-29,1,190
931540,1,BO455,2024-08-30,2,600
191597,3,BO455,2024-03-27,1,300
150757,1,CA166,2024-09-16,1,190
936392,1,CA807,2024-01-05,5,950
310095,3,BA884,2024-04-17,1,120
806141,1,FO392,2024-03-12,5,1150
370448,2,BA473,2024-12-22,1,120
984443,1,SA437,2024-06-08,5,750
463532,2,CA765,2024-09-21,2,380
457421,2,FO632,2024-01-06,4,920
899180,1,BA781,2024-01-19,1,120
107979,1,HE636,2024-09-11,2,500
329326,3,CA895,2024-10-15,3,570
251040,2,BA522,2024-04-16,2,240
929177,2,CA895,2024-08-09,1,190
622907,3,HE547,2024-10-22,1,250
276276,3,FO609,2024-06-19,3,690
854827,3,HE460,2024-10-15,3,750
152741,3,SN512,2024-12-17,3,540
798013,3,CA623,2024-04-14,2,380
786727,2,HE540,2024-11-12,2,500
202067,2,FO607,2024-05-19,1,230
974696,2,BA863,2024-06-25,1,120
405944,3,BO241,2024-02-22,2,600
346517,3,SA856,2024-10-04,1,150
205381,3,SA793,2024-03-16,1,150
236462,2,CA794,2024-05-09,2,380
970473,1,SN611,2024-01-13,5,900
440548,3,BA528,2024-03-25,1,120
764735,3,FO356,2024-05-19,1,230
533557,3,BA174,2024-09-23,1,120
443407,2,BA247,2024-04-17,1,120
735695,2,SN735,2024-10-24,1,180
753467,3,BA120,2024-10-08,1,120
853794,3,HE104,2024-12-21,1,250
379389,1,BA816,2024-08-18,2,240
626400,1,SN398,2024-11-05,1,180
913518,1,CA492,2024-01-09,7,1330
234361,1,SA627,2024-05-11,2,300
960071,1,BO305,2024-06-24,5,1500
132067,1,FO704,2024-01-19,5,1150
420480,1,SA627,2024-11-09,3,450
962068,1,BA174,2024-06-21,5,600
243353,1,BA325,2024-10-20,6,720
539122,2,CA234,2024-06-03,4,760
811980,3,CA567,2024-08-11,1,190
476138,2,HE560,2024-04-12,1,250
735173,1,BO158,2024-07-18,5,1500
394873,1,BA434,2024-11-05,5,600
841850,1,SA911,2024-10-15,3,450
149566,3,SA911,2024-10-23,2,300
257428,1,BO284,2024-07-05,5,1500
943517,1,SA725,2024-06-19,5,750
591504,3,BA547,2024-06-02,1,120
688664,2,BA290,2024-04-08,1,120
252476,1,SN144,2024-12-12,3,540
947509,3,BA184,2024-09-24,1,120
964105,3,SN871,2024-05-05,1,180
234244,2,SN483,2024-06-25,3,540
584035,3,SN529,2024-08-05,1,180
904390,3,SA437,2024-07-15,2,300
212869,3,CA293,2024-04-01,2,380
432535,3,SN689,2024-03-17,3,540
287753,3,SN483,2024-11-20,2,360
186987,3,HE530,2024-08-26,1,250
536377,1,BA332,2024-03-16,5,600
226536,1,SA991,2024-07-02,3,450
727464,3,BA745,2024-02-08,1,120
887622,3,SA934,2024-05-25,2,300
216449,3,SA167,2024-12-13,3,450
545106,1,BO280,2024-07-23,5,1500
274865,2,SN144,2024-05-03,4,720
140772,3,HE601,2024-01-05,1,250
143583,1,BO280,2024-06-09,7,2100
477010,1,FO588,2024-04-14,1,230
211096,3,BA174,2024-01-23,1,120
884289,1,BA249,2024-10-20,6,720
251505,3,SA154,2024-07-20,3,450
579370,1,SN138,2024-07-28,6,1080
698739,2,CA293,2024-06-24,4,760
954083,1,FO196,2024-02-13,4,920
429828,2,SA343,2024-07-09,1,150
549024,2,CA785,2024-04-11,3,570
649396,1,FO632,2024-12-12,1,230
473822,3,SA770,2024-11-05,2,300
249250,3,BO623,2024-08-29,2,600
602919,2,BA797,2024-07-23,2,240
503462,2,FO787,2024-10-08,4,920
182638,3,BO276,2024-11-17,3,900
560656,3,BA863,2024-07-26,1,120
146608,3,BO118,2024-06-09,3,900
328343,2,SA840,2024-12-10,1,150
106298,2,BO927,2024-12-20,2,600
422473,1,HE206,2024-10-07,4,1000
601475,3,FO607,2024-09-06,1,230
228207,3,CA686,2024-02-14,1,190
287125,1,BA590,2024-04-06,4,480
969927,3,CA472,2024-02-11,2,380
784191,3,HE658,2024-06-19,3,750
413501,1,CA252,2024-06-20,1,190
550811,2,SA674,2024-01-18,1,150
190028,3,HE206,2024-04-24,1,250
463399,1,SN497,2024-08-21,3,540
975346,3,HE783,2024-03-24,2,500
785770,2,SN503,2024-06-18,5,900
601033,2,HE133,2024-04-09,3,750
328934,3,HE211,2024-11-01,3,750
312311,1,FO455,2024-05-06,4,920
215172,2,SA807,2024-01-01,4,600
333962,1,CA362,2024-07-02,2,380
877770,3,BA941,2024-10-24,3,360
179881,3,BA736,2024-09-17,2,240
417416,2,CA295,2024-01-08,4,760
361353,2,HE562,2024-11-03,1,250
573902,3,SA372,2024-02-03,2,300
616712,1,BA672,2024-03-27,3,360
583119,2,HE549,2024-08-19,2,500
666865,1,BA941,2024-09-04,2,240
400594,2,SN407,2024-02-02,1,180
698251,1,SN969,2024-04-14,2,360
954317,3,CA895,2024-01-20,1,190
799531,3,SA210,2024-10-06,3,450
288975,2,HE414,2024-05-31,4,1000
836635,3,CA864,2024-10-21,3,570
359051,2,BO968,2024-12-12,2,600
729034,1,HE292,2024-09-03,4,1000
209989,1,SA840,2024-07-01,5,750
646640,2,SA275,2024-04-24,1,150
271974,1,SN116,2024-12-30,1,180
750118,2,CA623,2024-11-24,5,950
370372,1,HE733,2024-06-23,2,500
218307,2,CA502,2024-05-07,4,760
166924,2,SA740,2024-06-03,5,750
623003,3,BO838,2024-12-26,1,300
794246,2,FO529,2024-12-18,1,230
864504,3,CA686,2024-04-22,3,570
620662,3,BO114,2024-11-11,3,900
927967,2,BA589,2024-11-28,4,480
382281,2,CA163,2024-09-10,4,760
801048,3,FO632,2024-08-13,1,230
359283,1,SN398,2024-07-16,1,180
798856,1,FO693,2024-10-27,3,690
262069,3,CA252,2024-11-02,1,190
591002,2,FO529,2024-11-02,2,460
874169,2,SA674,2024-06-17,1,150
433641,1,SN710,2024-09-06,4,720
890342,2,BO995,2024-04-16,1,300
637665,1,BA771,2024-04-30,4,480
957169,2,CA623,2024-03-27,1,190
301398,2,HE133,2024-03-07,3,750
938832,1,HE133,2024-03-10,1,250
816814,3,BA929,2024-10-15,2,240
446833,3,CA363,2024-12-16,1,190
625679,1,FO445,2024-03-30,6,1380
910897,2,FO429,2024-10-08,4,920
875568,1,CA635,2024-03-04,3,570
527778,2,BA971,2024-03-14,2,240
125852,2,CA492,2024-11-13,4,760
469950,3,BO734,2024-02-21,1,300
316601,1,BO790,2024-10-03,4,1200
809112,2,FO769,2024-02-05,2,460
106941,1,BA975,2024-12-29,1,120
817785,3,SN483,2024-12-08,1,180
662344,3,BO750,2024-05-24,2,600
139725,2,FO811,2024-11-08,3,690
544547,2,CA540,2024-08-10,1,190
912267,2,BO651,2024-07-17,2,600
694580,1,FO429,2024-06-18,1,230
742495,2,HE530,2024-11-16,3,750
292301,1,BA522,2024-01-01,6,720
383125,1,FO369,2024-01-29,3,690
491687,3,FO675,2024-10-24,1,230
678728,2,BO431,2024-06-12,1,300
774404,3,SN710,2024-11-09,1,180
261071,2,SA210,2024-04-29,3,450
163719,2,BO963,2024-08-19,1,300
283908,3,FO488,2024-06-10,4,920
290605,3,HE861,2024-07-19,1,250
500063,2,SA903,2024-10-17,2,300
145583,3,SA255,2024-03-20,1,150
930978,1,BO241,2024-07-03,5,1500
678865,2,CA895,2024-04-01,1,190
619874,2,HE888,2024-04-11,4,1000
949097,1,BA967,2024-08-27,1,120
890955,2,BA296,2024-02-28,2,240
148649,3,BO651,2024-10-06,1,300
634031,1,CA249,2024-07-09,5,950
479031,3,SA600,2024-09-03,1,150
956797,3,FO347,2024-11-27,1,230
144098,3,BO832,2024-10-07,1,300
436058,2,SN211,2024-06-29,3,540
795255,3,SN172,2024-04-12,1,180
832088,3,SN905,2024-10-27,3,540
696848,3,BO651,2024-11-17,3,900
621146,1,HE658,2024-12-31,4,1000
136545,2,HE823,2024-11-06,1,250
660848,3,CA295,2024-11-10,3,570
629087,2,BA735,2024-09-01,2,240
338127,2,CA142,2024-08-26,2,380
482098,2,FO806,2024-10-19,2,460
776641,1,BA975,2024-01-24,7,840
189636,3,BA659,2024-07-05,1,120
331411,2,FO769,2024-01-09,5,1150
806041,2,SA275,2024-10-04,3,450
582455,2,SA674,2024-08-25,1,150
226615,3,BO420,2024-07-06,2,600
358602,2,SN825,2024-05-29,3,540
596358,3,CA895,2024-01-02,2,380
341532,1,FO437,2024-09-10,3,690
639259,2,HE733,2024-05-12,3,750
296975,1,FO963,2024-11-12,1,230
181001,1,BO897,2024-12-03,6,1800
189696,3,CA962,2024-09-16,2,380
870267,1,SA840,2024-12-13,5,750
255982,1,CA389,2024-11-23,5,950
163264,3,HE549,2024-03-07,3,750
866614,3,BO284,2024-04-24,1,300
992326,2,SA911,2024-11-20,1,150
198485,3,HE724,2024-03-06,1,250
383358,3,FO696,2024-03-04,2,460
946253,2,BO734,2024-06-03,1,300
887215,2,SN179,2024-08-05,1,180
665133,2,CA995,2024-01-16,1,190
576852,2,BO605,2024-02-08,1,300
232301,1,HE611,2024-10-19,4,1000
498343,1,BA745,2024-03-19,6,720
822881,1,SN918,2024-07-19,5,900
245625,3,SA496,2024-08-22,1,150
739001,1,FO963,2024-11-08,6,1380
494283,1,FO392,2024-07-22,3,690
180619,3,CA166,2024-02-28,2,380
991035,1,BO241,2024-06-19,7,2100
249722,1,SA903,2024-02-01,2,300
429472,1,BO995,2024-08-07,2,600
232083,2,FO355,2024-02-03,3,690
809225,1,HE104,2024-01-12,7,1750
621143,2,SA341,2024-01-24,1,150
186974,3,FO685,2024-03-04,2,460
593452,3,CA252,2024-09-05,1,190
782077,2,HE534,2024-03-11,1,250
927405,2,SN521,2024-05-06,2,360
992646,1,CA163,2024-03-28,3,570
575172,2,HE611,2024-03-04,2,500
986734,1,FO405,2024-10-06,1,230
120462,3,HE133,2024-08-28,1,250
506027,1,HE611,2024-02-07,1,250
774793,2,BA818,2024-05-09,3,360
138035,1,CA306,2024-03-07,6,1140
101011,3,FO540,2024-09-04,1,230
441581,1,BA290,2024-07-04,3,360
929826,3,SN179,2024-10-10,1,180
572106,2,SN689,2024-09-22,2,360
621838,1,SA154,2024-10-27,6,900
948193,1,HE116,2024-04-04,4,1000
636464,3,SN257,2024-11-22,3,540
645067,2,HE624,2024-08-31,2,500
963544,1,SN319,2024-02-20,4,720
163897,3,FO588,2024-06-03,2,460
967375,2,HE861,2024-09-04,1,250
888150,1,CA542,2024-09-26,3,570
445462,2,SN969,2024-01-16,2,360
539664,3,FO609,2024-04-23,2,460
601525,1,CA995,2024-08-16,4,760
878132,2,SN581,2024-03-18,5,900
213402,3,SN529,2024-02-05,1,180
761596,3,BO651,2024-04-11,1,300
988220,1,FO149,2024-12-06,5,1150
553681,2,FO928,2024-08-16,2,460
830284,1,BO651,2024-07-23,5,1500
550367,2,SN964,2024-11-01,1,180
326267,3,FO685,2024-06-17,3,690
772932,3,BO381,2024-03-08,2,600
642354,2,SN398,2024-03-11,1,180
708450,1,CA807,2024-09-01,2,380
500133,3,SA840,2024-03-02,3,450
907146,3,BA141,2024-05-08,1,120
715363,2,CA295,2024-10-24,3,570
793738,1,BA735,2024-11-27,1,120
245282,1,CA362,2024-06-07,3,570
449168,1,SA275,2024-06-06,7,1050
249484,1,SN497,2024-11-20,5,900
641173,2,SA934,2024-04-08,3,450
173174,2,BA751,2024-01-29,5,600
858463,1,SN829,2024-09-27,1,180
780137,2,FO607,2024-12-22,2,460
625631,2,SN138,2024-03-08,1,180
187043,2,SN407,2024-05-19,1,180
831441,1,SN258,2024-06-03,3,540
360192,1,FO325,2024-11-30,5,1150
411530,1,SA793,2024-07-14,3,450
496315,2,FO685,2024-06-12,5,1150
589724,2,HE724,2024-09-15,1,250
923796,1,SN871,2024-06-28,5,900
738647,2,BA751,2024-03-13,3,360
162026,2,CA293,2024-10-16,2,380
355627,1,SN689,2024-01-04,5,900
163449,3,HE547,2024-10-31,3,750
418241,2,BO832,2024-08-16,1,300
891349,1,BA672,2024-10-25,4,480
196545,2,BO934,2024-12-30,1,300
662959,2,SA195,2024-04-01,1,150
755770,2,HE414,2024-02-14,1,250
925576,1,CA249,2024-05-01,4,760
937266,2,CA518,2024-03-13,3,570
520097,3,SA720,2024-06-13,1,150
646353,2,SN969,2024-09-20,3,540
883954,2,FO356,2024-01-24,1,230
127082,3,BA201,2024-11-14,1,120
383796,2,HE460,2024-12-16,1,250
441726,2,BO693,2024-06-19,4,1200
768023,3,SN483,2024-09-08,2,360
978167,1,HE116,2024-04-08,4,1000
980943,3,FO325,2024-01-03,1,230
320105,3,BO915,2024-10-07,3,900
944007,2,SN119,2024-05-12,1,180
372548,2,FO433,2024-09-04,1,230
829404,1,CA362,2024-07-21,1,190
138775,2,FO355,2024-02-06,2,460
910507,2,FO787,2024-10-04,3,690
779827,1,FO149,2024-12-31,7,1610
889555,2,FO802,2024-07-12,4,920
859680,3,SA270,2024-07-07,3,450
401238,3,SN571,2024-12-25,2,360
667233,1,SN812,2024-01-28,5,900
351362,2,SN812,2024-10-26,2,360
471085,2,SA725,2024-07-17,5,750
322999,3,BA251,2024-08-04,2,240
535965,3,CA995,2024-10-31,3,570
483358,2,BO313,2024-01-01,2,600
897984,3,HE549,2024-04-27,1,250
417979,2,CA514,2024-06-02,2,380
179457,3,FO355,2024-01-27,1,230
665306,2,HE116,2024-11-09,4,1000
167082,3,SA281,2024-06-17,1,150
705848,3,SN905,2024-04-25,1,180
314669,1,CA895,2024-06-11,5,950
516837,1,BO313,2024-03-29,3,900
243911,1,BA726,2024-10-31,2,240
423678,3,BA872,2024-01-19,2,240
913552,3,BO305,2024-03-04,3,900
187688,1,SN743,2024-06-24,3,540
459419,1,BO651,2024-05-10,6,1800
353396,2,CA716,2024-06-26,1,190
453066,3,FO588,2024-03-31,1,230
913057,3,SN992,2024-08-08,2,360
668232,3,FO538,2024-10-09,1,230
639994,2,HE698,2024-10-04,3,750
543847,1,SN147,2024-02-09,1,180
163098,2,BO381,2024-11-21,1,300
877756,2,BA247,2024-05-06,3,360
527025,1,SN735,2024-07-24,1,180
579717,3,FO988,2024-06-26,1,230
137074,3,FO373,2024-08-19,1,230
142794,3,BA736,2024-01-16,1,120
973771,2,SN398,2024-03-26,5,900
698193,3,BA120,2024-06-04,2,240
838395,2,FO581,2024-10-29,2,460
641090,3,CA252,2024-04-03,1,190
897669,2,SA991,2024-05-21,2,300
162951,1,HE601,2024-12-25,1,250
173569,2,HE508,2024-08-20,2,500
926552,2,HE861,2024-11-29,1,250
857524,2,BO125,2024-08-08,2,600
501817,1,BO526,2024-03-29,3,900
157952,3,CA389,2024-05-04,2,380
708973,2,SN829,2024-02-24,2,360
586478,3,FO675,2024-08-03,1,230
608064,2,BO284,2024-03-17,4,1200
627416,1,SN407,2024-04-08,4,720
364477,3,SA270,2024-04-04,1,150
664963,2,BO114,2024-01-27,1,300
866958,3,HE955,2024-04-21,2,500
261116,1,BA672,2024-11-03,3,360
174999,1,FO355,2024-10-29,4,920
551337,2,CA635,2024-04-11,2,380
775469,2,BO934,2024-06-08,1,300
711715,1,FO704,2024-02-12,1,230
122101,1,SN258,2024-09-20,5,900
621410,1,SA740,2024-05-07,6,900
782783,3,BA325,2024-05-09,1,120
330549,1,BA661,2024-07-14,1,120
277362,3,CA472,2024-07-07,3,570
280630,3,FO112,2024-09-23,2,460
320782,3,SN825,2024-04-14,1,180
398570,2,HE508,2024-09-21,1,250
368207,2,HE595,2024-04-17,1,250
124132,3,BO185,2024-01-30,1,300
158517,3,SA793,2024-11-26,2,300
332139,1,HE595,2024-04-12,2,500
161926,3,CA320,2024-12-11,1,190
180203,1,SN179,2024-08-25,2,360
615668,2,SN319,2024-08-28,1,180
690045,1,BO325,2024-06-07,7,2100
510134,2,CA635,2024-08-01,2,380
428018,3,SN497,2024-04-11,2,360
767491,3,BO325,2024-06-19,1,300
640617,3,SA549,2024-03-28,2,300
672332,2,CA842,2024-02-08,1,190
965310,2,SN512,2024-04-02,4,720
439307,2,FO588,2024-06-10,4,920
940355,2,SN179,2024-09-03,3,540
570940,2,BO118,2024-06-12,5,1500
713793,3,FO356,2024-10-11,2,460
402166,1,CA962,2024-02-12,2,380
439938,3,SN992,2024-10-26,2,360
282314,1,BO199,2024-04-18,4,1200
931799,3,BO920,2024-02-23,1,300
468599,2,CA901,2024-06-03,1,190
601942,3,SN689,2024-01-14,3,540
780910,2,FO923,2024-09-03,1,230
199487,2,BO790,2024-02-14,2,600
622745,2,BA872,2024-06-08,1,120
424512,3,BO381,2024-08-11,2,600
409017,1,HE508,2024-01-31,3,750
359061,3,HE534,2024-03-15,2,500
364540,1,HE562,2024-06-27,1,250
614080,1,BA784,2024-11-06,5,600
737862,2,BO354,2024-12-23,1,300
411569,3,HE624,2024-12-29,1,250
271041,2,FO806,2024-08-19,2,460
695151,1,CA274,2024-05-05,4,760
930638,1,SN710,2024-09-14,2,360
253262,3,SN258,2024-05-05,1,180
734969,2,SA210,2024-06-15,1,150
426028,1,BO420,2024-02-06,1,300
137205,1,BO703,2024-08-03,4,1200
665578,2,CA901,2024-04-05,1,190
424278,1,BA311,2024-08-11,2,240
966508,2,HE796,2024-09-24,4,1000
889576,3,CA901,2024-06-29,3,570
237427,3,CA252,2024-12-19,2,380
969196,1,BA296,2024-12-15,1,120
583384,3,BA736,2024-09-25,2,240
558295,2,BO147,2024-06-25,5,1500
530482,2,BO114,2024-08-14,1,300
535752,2,BO703,2024-05-01,3,900
836670,3,HE724,2024-01-09,1,250
216172,2,BO856,2024-07-27,1,300
